层编号,模块名称,原始维度,剪枝后维度,保留率,稀疏度
27,mlp_up_proj,14336 × 4096,10752 × 4096,0.7500,0.2500
27,mlp_down_proj,4096 × 14336,4096 × 10752,0.7500,0.2500
28,attn_q_proj,4096 × 4096,3840 × 4096,0.9375,0.0625
28,attn_k_proj,1024 × 4096,768 × 4096,0.7500,0.2500
28,attn_v_proj,1024 × 4096,768 × 4096,0.7500,0.2500
28,attn_o_proj,4096 × 4096,4096 × 3840,0.9375,0.0625
28,mlp_gate_proj,14336 × 4096,10752 × 4096,0.7500,0.2500
28,mlp_up_proj,14336 × 4096,10752 × 4096,0.7500,0.2500
28,mlp_down_proj,4096 × 14336,4096 × 10752,0.7500,0.2500
29,attn_q_proj,4096 × 4096,3840 × 4096,0.9375,0.0625
29,attn_k_proj,1024 × 4096,768 × 4096,0.7500,0.2500
29,attn_v_proj,1024 × 4096,768 × 4096,0.7500,0.2500
29,attn_o_proj,4096 × 4096,4096 × 3840,0.9375,0.0625
29,mlp_gate_proj,14336 × 4096,10752 × 4096,0.7500,0.2500
29,mlp_up_proj,14336 × 4096,10752 × 4096,0.7500,0.2500
29,mlp_down_proj,4096 × 14336,4096 × 10752,0.7500,0.2500
30,attn_q_proj,4096 × 4096,4096 × 4096,1.0000,0.0000
30,attn_k_proj,1024 × 4096,1024 × 4096,1.0000,0.0000
30,attn_v_proj,1024 × 4096,1024 × 4096,1.0000,0.0000
30,attn_o_proj,4096 × 4096,4096 × 4096,1.0000,0.0000
30,mlp_gate_proj,14336 × 4096,14336 × 4096,1.0000,0.0000
30,mlp_up_proj,14336 × 4096,14336 × 4096,1.0000,0.0000
30,mlp_down_proj,4096 × 14336,4096 × 14336,1.0000,0.0000
31,attn_q_proj,4096 × 4096,4096 × 4096,1.0000,0.0000
31,attn_k_proj,1024 × 4096,1024 × 4096,1.0000,0.0000
31,attn_v_proj,1024 × 4096,1024 × 4096,1.0000,0.0000
31,attn_o_proj,4096 × 4096,4096 × 4096,1.0000,0.0000
31,mlp_gate_proj,14336 × 4096,14336 × 4096,1.0000,0.0000
31,mlp_up_proj,14336 × 4096,14336 × 4096,1.0000,0.0000
31,mlp_down_proj,4096 × 14336,4096 × 14336,1.0000,0.0000
